棒,bang4,a stick/club or cudgel/smart/capable/strong
镑,bang4,pound (sterling)
谤,bang4,to slander/defame/speak ill of
蚌,bang4,oysters/mussels
蒡,bang4,Arctium lappa/great burdock
磅,bang4/pang2,a measure word/pound (unit of measurement)/scale/weigh
包,bao1,to cover/to wrap/to hold/to include/to take charge of/package/wrapper/container/bag/to hold or embrace/bundle/packet/to contract (to or for)
胞,bao1,the placenta/womb
褒,bao1,to praise
苞,bao1,flower calyx/luxuriant/profuse
煲,bao1,pot or saucepan/to boil/cook or heat
孢,bao1,spore
雹,bao2,hail
保,bao3,to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard
宝,bao3,a jewel or gem/a treasure/precious
饱,bao3,to eat till full/satisfied
鸨,bao3,Chinese bustard/procuress
葆,bao3,dense foliage/to cover
褓,bao3,cloth for carrying baby on back
堡,bao3/pu4,"an earthwork/castle/position of defense/stronghold, character used in place names"
报,bao4,to announce/to inform/report/newspaper/recompense/revenge
暴,bao4,sudden/violent/cruel/to show or expose/to injure
抱,bao4,to hold/to carry (in one's arms)/to hug or embrace/surround/cherish
爆,bao4,to crack/to explode or burst
鲍,bao4,abalone
豹,bao4,leopard/panther
趵,bao4/bo1,jump/leap
刨,bao4/pao2,"a plane/to plane/level or make smooth, a plane/to plane, eliminate/to dig/to question"
瀑,bao4/pu4,"shower (rain), waterfall"
悲,bei1,sad/sadness/sorrow/grief
杯,bei1,cup/a measure word
卑,bei1,low/base/vulgar/inferior/humble
碑,bei1,a monument/an upright stone tablet/stele
鹎,bei1,bird
背,bei1/bei4,"carry on one's back, to be burdened/to carry on the back or shoulder, learn by heart/the back of the body"
北,bei3,north
被,bei4,by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear
备,bei4,to prepare/get ready/to provide or equip
贝,bei4,cowries/shell/valuables/shellfish
辈,bei4,contemporaries/generation/lifetime
倍,bei4,"(two, three, etc) -fold/times (multiplier)/double/to increase or multiply"
悖,bei4,perverse/rebellious/to rebel
惫,bei4,exhausted
狈,bei4,a legendary wolf/distressed/wretched
钡,bei4,barium
焙,bei4,to dry over a fire/to bake
蓓,bei4,(flower) bud
碚,bei4,place name in Chongqing
褙,bei4,paper or cloth pasted together
邶,bei4,name of a feudal state
孛,bei4/bo2,comet
锛,ben1,adz/adze
奔,ben1/ben4,"to hurry or rush/to run quickly/to elope, go to/towards"
贲,ben1/bi4,"energetic, bright"
本,ben3,roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)
苯,ben3,benzene
畚,ben3,a basket or pan used for earth/manure etc
笨,ben4,stupid/foolish/silly/slow-witted/clumsy
坌,ben4,bring together/dust
崩,beng1,collapse/fall into ruins
绷,beng1/beng3,"to stretch/taut/to tie/to bind, to have a taut face"
甭,beng2,need not
蹦,beng4,to jump/bounce or hop
迸,beng4,to burst forth/to spurt/to crack/split
逼,bi1,"close to/compel, force/compel/drive/press for/extort/press on towards/press up to/close in on/close"
匕,bi1/bi3,"an ancient type of spoon, dagger/ladle"
鼻,bi2,nose
荸,bi2,water chestnut
笔,bi3,pen/pencil/writing brush/to write or compose/the strokes of Chinese characters
彼,bi3,that/those/(one) another)
鄙,bi3,rustic/low/base/mean
俾,bi3,to cause/to enable
妣,bi3,deceased mother
秕,bi3,grain not fully grown/husks/withered grain/unripe grain
比,bi3/bi4,"(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near"
必,bi4,certainly/must/will/necessarily
毕,bi4,the whole of/to finish/to complete/complete/full/finished
避,bi4,avoid/shun/flee/escape/leave/to keep away/to leave/to hide
币,bi4,money/coins/currency
闭,bi4,to close/stop up/shut/obstruct
壁,bi4,wall/rampart
陛,bi4,the steps to the throne
臂,bi4,arm
碧,bi4,green jade/bluish green/blue/jade
蔽,bi4,to cover/to shield/to screen/to conceal
弊,bi4,detriment/fraud/harm/defeat
婢,bi4,slave girl/maid servant
弼,bi4,assist
敝,bi4,my (polite)/poor/ruined/shabby/worn out/defeated
毙,bi4,die violently
庇,bi4,to protect/cover/shelter/hide or harbor
璧,bi4,piece of jade with hole in center
痹,bi4,"paralysis, numbness, numb/paralysis"
跸,bi4,to clear streets when emperor tours
嬖,bi4,(treat as a) favorite
蓖,bi4,the castor-oil plant
毖,bi4,careful/prevent
髀,bi4,buttocks/thigh
薜,bi4,Ficus pumila
愎,bi4,perverse/obstinate
畀,bi4,confer on/give to
萆,bi4,castor seed
篦,bi4,fine-toothed comb/to comb
荜,bi4,bean/pulse
襞,bi4,creases/folds or pleats in a garment
哔,bi4,beiges/serge
庳,bi4,low-built house
筚,bi4,wicker
狴,bi4,(tapir)
铋,bi4,bismuth
泌,bi4/mi4,secrete/pour off
裨,bi4/pi2,"to benefit/to aid/advantageous/profitable, (surname)/assistant/small"
辟,bi4/pi4,"king/emperor/monarch/royal/ward off, law, dispel/open up/refute"
睥,bi4/pi4,look askance
边,bian1,side/edge/margin/border/boundary
编,bian1,weave/plait/organize/group/arrange/edit/compile/write/compose/fabricate
鞭,bian1,a whip or lash/to flog/slash or whip
笾,bian1,basket for fruits
蝙,bian1,bat
砭,bian1,a stone probe/acupuncture
贬,bian3,to diminish/to demote/reduce or devaluate/disparage/censure/depreciate
窆,bian3,put a coffin in grave
褊,bian3,narrow/urgent
扁,bian3/pian1,"flat/tablet/inscription, (surname)/small boat, Polygonum aviculare"
匾,bian3/pian2,"a tablet/a board with an inscription/a sign hung above a door, basket-couch in coffin"
变,bian4,to change/to become different/to transform/to vary/rebellion
遍,bian4,a time/everywhere/turn/all over/one time
辩,bian4,dispute/debate/argue/discuss
辨,bian4,distinguish/recognize
汴,bian4,name of a river in Henan/Henan
弁,bian4,cap
卞,bian4,(surname)/hurried
辫,bian4,a braid or queue/to plait
忭,bian4,delighted/pleased
缏,bian4,braid
便,bian4/pian2,"ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap"
标,biao1,the topmost branches of a tree/surface/sign/to mark/(outward) sign/indication/prize/award/bid
彪,biao1,a tiger-cat/stripes/streaks/veins
镖,biao1,a throwing weapon/dart
髟,biao1,hair/shaggy
飙,biao1,whirlwind
镳,biao1,darts/escort/horsebit
膘,biao1,fat of a stock animal
飑,biao1,whirlwind
瘭,biao1,whitlow
杓,biao1/shao2,"(star), ladle"
表,biao3,surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external
婊,biao3,prostitute
裱,biao3,hang (paper)/mount (painting)
鳔,biao4,air bladder of fish
憋,bie1,hold in (urine)/to hold (breath)/to choke/stifle/restrain/hold back
鳖,bie1,turtle
蹩,bie2,limp
别,bie2/bie4,"leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward"
瘪,bie3,deflated/shriveled/sunken/empty
宾,bin1,visitor/guest
斌,bin1,ornamental/refined
滨,bin1,shore/beach/coast/bank
彬,bin1,ornamental/refined
濒,bin1,near
缤,bin1,helter-skelter/mixed colors/in confusion
傧,bin1,best man/entertain
豳,bin1,name of an ancient city
镔,bin1,fine steel
槟,bin1/bing1,"areca/the areca nut palm, areca"
鬓,bin4,temples/hair on the temples
殡,bin4,a funeral/to encoffin a corpse/to carry to burial
摈,bin4,reject/expel/discard/exclude/renounce
膑,bin4,kneecap/patella
髌,bin4,kneecap
兵,bing1,soldiers/a force/an army/weapons/arms/military/warlike
冰,bing1,ice
丙,bing3,the third of the ten heavenly stems/the third position/third/number three
禀,bing3,natural property or endowment/report to (a superior)
柄,bing3,authority/handle/hilt
秉,bing3,(surname)/to grasp/hold/maintain
饼,bing3,round flat cake/cookie/cake/pastry
炳,bing3,bright/brilliant/luminous
邴,bing3,(surname)/ancient city name/happy
屏,bing3/ping2,"get rid of/put aside/reject/keep control/hold back, (standing) screen"
并,bing4,"and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with"
病,bing4,ailment/sickness/illness/disease/fall ill/sick/defect
摒,bing4,arrange/drive off/expel
卜,bo/bu3,"turnip, to divine/foretell"
波,bo1,wave/ripple/storm/surge
播,bo1,sow/scatter/spread/broadcast
玻,bo1,glass
拨,bo1,to push aside/to appropriate (money)/to move/to set aside/group/batch/to poke/to stir
钵,bo1,alms bowl/small earthenware basin
饽,bo1,cake/biscuit
菠,bo1,spinach
剥,bo1/bao1,peel/to skin
伯,bo2,father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address
博,bo2,extensive/ample/rich/obtain/aim/to win/to get/rich/plentiful/to gamble
勃,bo2,flourishing/prosperous/suddenly/abruptly
泊,bo2,to anchor/touch at/to moor
驳,bo2,"argue/parti-colored/tranship/dispute/contradict/refute, argue/parti-colored/tranship"
帛,bo2,silk
脖,bo2,neck
舶,bo2,sea-going vessels/ship
膊,bo2,shoulder/upper arm
搏,bo2,fight/combat/seize
渤,bo2,Gulf of Chili
亳,bo2,name of district in Anhui/capital of Yin
箔,bo2,bamboo screen/door screen/metal foil/leaf/sheet/tinsel
鹁,bo2,woodpidgeon
钹,bo2,cymbals
踣,bo2,corpse/prostrate
礴,bo2,fill/extend
铂,bo2,platinum
薄,bo2/bo4/bao2,"mean/slight/thin, thin/slight/meagre/small/ungenerous/unkind/mean/frivolous/despise/belittle/to approach/to go near/peppermint"
跛,bo3,lame/crippled
簸,bo3/bo4,"to winnow, dust pan/toss (as waves)"
擘,bo4,thumb/break/tear/pierce/split/to analyze
檗,bo4,Phyllodendron amurense
逋,bu1,flee/abscond/owe
晡,bu1,3-5 p.m.
哺,bu1/bu3,"evening meal, feed"
醭,bu2,mold on liquids
补,bu3,to repair/to patch/to mend/to make up for/to fill (a vacancy)/to supplement
捕,bu3,to catch/to seize/to capture/to catch
部,bu4,"ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)"
步,bu4,a step/a pace/walk/march/stages in a process
布,bu4,"diffuse/extend/notify, to declare/to announce/to spread/to make known/spread/(cotton) cloth"
怖,bu4,terror/terrified/afraid/frightened
簿,bu4,a book/a register/account-book
埠,bu4,a jetty/port/a city/quay
不,bu4/bu2,(negative prefix)/not/no
擦,ca1,to wipe/to erase/rubbing (brush stroke in painting)/to clean/to polish
猜,cai1,to guess
才,cai2,"ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until"
财,cai2,money/wealth/riches/property/valuables
材,cai2,material
裁,cai2,cut out (as a dress)/cut/trim/reduce/diminish/decision/judgment
彩,cai3,"(bright) color/variety/applause/applaud/(lottery) prize, colored/variegated"
踩,cai3,step upon/tread on/stamp
睬,cai3,pay attention/take notice of/to care for
采,cai3/cai4,"to pick/to pluck/to collect/to select/to choose/to gather, affairs/gather, allotment to a feudal noble"
菜,cai4,dish (type of food)/vegetables
蔡,cai4,(surname)
餐,can1,eat/meal
骖,can1,outside horses of a team of 4
参,can1/shen1,"take part in/participate/join/attend/to join/unequal/varied/irregular/to counsel/uneven/not uniform, ginseng"
残,can2,destroy/spoil/ruin/injure/cruel/oppressive/savage/incomplete/disabled
惭,can2,ashamed
蚕,can2,silkworm
惨,can3,miserable/wretched/cruel/inhuman/seriously/badly/tragic
黪,can3,grey black
灿,can4,glorious/bright/brilliant/lustrous/resplendent
粲,can4,beautiful/bright/splendid/smilingly
璨,can4,gem/luster of gem
孱,can4/chan2,"dodger, coward/weak"
仓,cang1,barn/granary/storehouse/cabin/hold (in ship)
苍,cang1,dark blue/fly/musca/deep green
舱,cang1,cabin/the hold of a ship or airplane
沧,cang1,blue/green(color of water)/cold/vast (of water)
伧,cang1,low fellow/rustic/rude/rough
藏,cang2/zang4,"to hide away/to conceal/to harbor/store/accumulate, storehouse/depository/Buddhist or Taoist scripture/Zang/Tibet"
操,cao1,to hold/to drill/to exercise/to act/to do/to take in hand/to keep/to manage
糙,cao1,rough/coarse (in texture)
曹,cao2,a company/a class/a generation/(a surname)
漕,cao2,transport by water/watercourse/canal
槽,cao2,manger/trough/groove
嘈,cao2,bustling/tumultuous/noisy
艚,cao2,sea-going junk
螬,cao2,larva of Mimela lucidula
草,cao3,grass/straw/draft (of a document)/careless/rough/manuscript/hasty
策,ce4,method/plan/policy/scheme
测,ce4,side/to lean/to survey/to measure/conjecture
册,ce4,book/a measure word for books/booklet
厕,ce4,rest-room/toilet/lavatory
恻,ce4,sorrowful
侧,ce4/zhai1,"the side/to incline towards/to lean/inclined/lateral/side, lean on one side"
岑,cen2,a small hill/(a surname)
涔,cen2,overflow/rainwater/tearful
噌,ceng1/cheng1,"to scold/whoosh!, sound of bells, etc"
层,ceng2,a measure word for layers/laminated/repeated/floor/story (of a building)/layer/(math.) sheaf
蹭,ceng2/ceng4,"rub, rub against/walk slowly"
曾,ceng2/zeng1,"(refers to something that happened previously)/already/at some time in the past/before/once, (surname)/great-grand (father)"
插,cha1,insert/stick in/pierce/to take part in/to interfere/to interpose
叉,cha1/cha2/cha3,"fork/pitchfork/prong/pick/cross/intersect, to cross/be stuck, to diverge/to open (as legs)"
杈,cha1/cha4,"fork of a tree/pitchfork, branches of a tree/fork of a tree"
差,cha1/cha4/chai1/ci1,"difference/discrepancy/to differ/error/to err/to make a mistake, differ from/short of/to lack/poor, send/a messenger/a mission/to commission, uneven"
喳,cha1/zha1,twitter/chirp
察,cha2,examine/inquire/observe/inspect/look into/to examine
茶,cha2,tea/tea plant
槎,cha2,a raft made of bamboo or wood/to fell trees/to hew
搽,cha2,"apply (ointment, powder)/smear/paint on"
碴,cha2,fault/glass fragment/quarrel
查,cha2/zha1,"to research/to check/to investigate/to examine/to refer to/to search, (surname)"
楂,cha2/zha1,"fell trees/raft/to hew, Chinese quince/hawthorn"
衩,cha3/cha4,"open seam of a garment/shorts/panties, slit on either side of robe"
诧,cha4,surprised/to wander/to be astonished
岔,cha4,branch in a road/astray/diverge
汊,cha4,branching stream
刹,cha4/sha1,"Buddhist monastery or temple/a brief moment, to brake (car)"
拆,chai1,to tear open/to tear down/to tear apart/to open
钗,chai1,hairpin
柴,chai2,(surname)/firewood
豺,chai2,ravenous beast/wolves (collect.)
侪,chai2,a class/a company/companion
虿,chai4,(scorpion)/an insect
瘥,chai4/cuo2,"recover from disease, disease"
搀,chan1,assist by the arm/mix/support/sustain
掺,chan1/shan3,"mix, to grasp"
缠,chan2,to bother/wind around/wrap round/coil/involve/annoy/tangle
蝉,chan2,cicada
谗,chan2,slander/defame/misrepresent/to speak maliciously
蟾,chan2,moon/(striped) toad
婵,chan2,beautiful/graceful
躔,chan2,course of stars/follow precedent
澶,chan2,still (as of water)/still water
馋,chan2,gluttonous/greedy
潺,chan2,flow/trickle (of water)
廛,chan2,market place
单,chan2/dan1/shan4,"chieftain, bill/list/form/single/only/sole, (surname)"
禅,chan2/shan4,"meditation/abstraction/(Zen) Buddhism, abdicate"
产,chan3,to reproduce/to produce/give birth/products/produce/resources/estate/property
阐,chan3,to express/disclose/enlighten/open
谄,chan3,flatter/cajole
铲,chan3,"level off/root up, spade/shovel"
蒇,chan3,complete/prepare
冁,chan3,smilingly
忏,chan4,feel remorse/regret/repent
羼,chan4,confusion/sheep crowding
昌,chang1,prosperous/flourish
娼,chang1,prostitute
猖,chang1,mad/wild
阊,chang1,gate of heaven/gate of palace
菖,chang1,calamus
伥,chang1,groping/rash/reckless
鲳,chang1,a type of fish
常,chang2,always/ever/often/frequently/common/general/constant
尝,chang2,"indicator of past tense/to taste/flavor/already/ever/once/test/already/formerly, to taste"
偿,chang2,to compensate/pay back/to recompense
肠,chang2,intestines
嫦,chang2,a legendary beauty who flew to the moon/the lady in the moon
苌,chang2,carambola
徜,chang2,sit cross-legged/walk back and forth
裳,chang2/shang,lower garment/skirts/petticoats/garments
长,chang2/zhang3,"length/long/forever/always/constantly, chief/head/elder/to grow/to develop"
场,chang3,"a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)"
厂,chang3,cliff/slope/factory/yard/depot/workhouse/works/(industrial) plant
敞,chang3,spacious/uncovered
昶,chang3,bright/long day
氅,chang3,overcoat
惝,chang3/tang3,"disappointed, disappointed"
唱,chang4,sing/to call loudly/to chant
畅,chang4,smooth/fluent/joyful/happy
倡,chang4,initiate/instigate/introduce/lead/initiate
怅,chang4,regretful/upset/despair/depressed
鬯,chang4,sacrificial spirit
超,chao1,to exceed/overtake/surpass/transcend/ultra-/super-/to pass/to cross
抄,chao1,to copy/to plagiarize/to search and seize/to go/to transcribe/to take a shortcut/to search and confiscate
钞,chao1,money/paper money
剿,chao1/jiao3,"destroy (bandits), destroy (bandits)"
潮,chao2,tide/current/damp/moist/humid
巢,chao2,nest
晁,chao2,(surname)
朝,chao2/zhao1,"to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning"
嘲,chao2/zhao1,"ridicule/mock, to ridicule"
吵,chao3,to quarrel/to make a noise/noisy/to disturb by making a noise
炒,chao3,saute/pan-fry/to fry/fried
砗,che1,Tridacna gigas
车,che1/ju1,"car/a vehicle/machine/to shape with a lathe, vehicle on land"
扯,che3,pull/tear/to talk casually
彻,che4,pervade/penetrate/pass through/thorough/penetrating
撤,che4,remove/take away/withdraw
掣,che4,pull/obstruct/hinder/draw
澈,che4,clear (water)/thorough
坼,che4,to crack/split/break/to chap
辙,che4/zhe2,"to remove/to withdraw, rut/track"
琛,chen1,precious stone/gem
嗔,chen1,to be angry at
郴,chen1,name of a district in Hunan
陈,chen2,arrange/exhibit/narrate/tell/old/stale/a surname/to state/to display/to explain/(surname)
臣,chen2,statesman/vassal/courtier/minister/official
沉,chen2,submerge/immerse/sink/deep/profound/to lower/to drop
辰,chen2,5th earthly branch/7-9 a.m.
晨,chen2,morning/dawn/daybreak
尘,chen2,dust/dirt/earth
宸,chen2,imperial apartments
谌,chen2,(surname)/faithful/sincere
忱,chen2,sincerity/honesty
沈,chen2/shen3,"sink, (surname)/place name"
趁,chen4,avail oneself of/take advantage of
衬,chen4,give alms/underwear/to line/lining/contrast/assist
谶,chen4,prophecy/omen
榇,chen4,Sterculia plantanifolia/coffin
龀,chen4,replace the milk teeth
称,chen4/cheng1/cheng4,"balanced/to fit/well-off/suitable, to call/to praise/to weigh/to estimate/to consider/to call/to address/to name/to say/commend, steelyard"
撑,cheng1,support/prop-up/to pole a boat/to open/to overfill
瞠,cheng1,stare at something beyond reach
蛏,cheng1,mussel/razor clam/Solecurtus constricta
柽,cheng1,tamarisk
铛,cheng1/dang1,"frying pan/griddle, clank/clang/sound of metal"
城,cheng2,city walls/city/town
程,cheng2,rule/order/regulations/formula/journey/procedure/sequence/a surname
承,cheng2,to bear/to carry/to hold/to continue/to undertake/to take charge/owing to/due to/to receive
乘,cheng2,ride/mount/make use of/take advantage of/multiply/to avail of/to ride
诚,cheng2,honest/sincere/true
丞,cheng2,deputy
呈,cheng2,to assume (a form)/to submit/to petition/to show/to present/to offer
惩,cheng2,punish/discipline
橙,cheng2,orange tree/the color orange/orange
裎,cheng2,take off clothes
铖,cheng2,person's name
枨,cheng2,door post
酲,cheng2,alcoholic
塍,cheng2,raised path between fields
埕,cheng2,earthen jar
成,cheng2/cheng4,"finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth"
澄,cheng2/deng4,"clear and still water, clear/limpid/clarify/purify/(a surname), settle (liquid)"
盛,cheng2/sheng4,"to hold/contain/to ladle/pick up with a utensil, (surname)/flourishing"
逞,cheng3,please oneself/presume on/boast
骋,cheng3,hasten/run/open up/gallop
秤,cheng3/cheng4,"steel yard/scales, steelyard"
痴,chi1,"imbecile/sentimental/stupid/foolish/silly, imbecile/sentimental"
嗤,chi1,laugh at/jeer/scoff at/sneer at
笞,chi1,to whip with bamboo strips
魑,chi1,mountain elf
蚩,chi1,(surname)/ignorant/worm
鸱,chi1,scops owl
媸,chi1,ugly woman
螭,chi1,hornless dragon
眵,chi1,gritty secretion in eyes
吃,chi1/ji2,"eat/eradicate/destroy/receive, eat, stammer"
郗,chi1/xi1,(surname)/name of an ancient city
持,chi2,to grasp/to hold/support/manage/direct/maintain
迟,chi2,late/delayed/slow
池,chi2,pond/reservoir
驰,chi2,run fast/speed/spread/gallop
弛,chi2,unstring a bow/slacken/relax/loosen
墀,chi2,courtyard
踟,chi2,hesitating/undecided/hesitant
篪,chi2,bamboo flute with 8 holes
茌,chi2,name of a district in Shandong
坻,chi2/di3,"islet/rock in river, place name"
匙,chi2/shi,spoon
尺,chi3,a Chinese foot (M)/one-third of a meter/a ruler/a note musical note on traditional Chinese scale
齿,chi3,tooth
耻,chi3,shame/disgrace
侈,chi3,extravagant/wasteful/exaggerating
褫,chi3,strip/deprive of/to discharge/dismiss/undress
豉,chi3,salted fermented beans
赤,chi4,red/scarlet/bare/naked
敕,chi4,imperial orders
斥,chi4,blame/reprove/reprimand
翅,chi4,wing
叱,chi4,to scold/shout at/to hoot at
饬,chi4,keep in order/stern/to order/direct
炽,chi4,flame/blaze
啻,chi4,(not) just/(not) only
傺,chi4,detain/hinder
踅,chi4/xue2,"walk with one leg, to walk around/turn back midway"
充,chong1,fill/satisfy/fulfill/to act in place of/substitute/sufficient/full
忡,chong1,grieved/distressed/sad/uneasy
憧,chong1,irresolute/unsettled
舂,chong1,to pound (grain)/beat
冲,chong1/chong4,"to rinse/to collide/to water/to rush/to dash (against)/to wash out/to charge/highway/public road, dash against, strong/powerful/forceful/dynamic/to punch, of great force/towards"
崇,chong2,high/dignified/lofty/to honor
虫,chong2,"insect/worm, an animal/an invertebrate/a worm/an insect"
重,chong2/zhong4,"to double/to repeat/repetition/iteration/again/a layer, heavy/serious"
